"","Timestamp","Edad","Altura (cm)","Dinero en efectivo (COP)"
"1","8/9/2024 18:35:35",18,170,2000
"2","8/9/2024 18:35:55",20,180,65000
"3","8/9/2024 18:36:01",21,178,20000
"4","8/9/2024 18:36:07",22,159,20000
"5","8/9/2024 18:36:10",20,158,2500
"6","8/9/2024 18:36:10",20,175,100
"7","8/9/2024 18:36:34",21,162,1000
"8","8/9/2024 18:36:38",23,172,20
"9","8/9/2024 18:36:43",20,184,30
"10","8/9/2024 18:36:45",19,155,45
"11","8/9/2024 18:37:26",22,164,50000
"12","8/9/2024 18:37:34",26,175,1500000
"13","8/9/2024 18:37:38",22,180,1000000
"14","8/9/2024 18:37:47",20,185,250
"15","8/9/2024 18:37:59",23,178,60000
"16","8/9/2024 18:38:17",21,173,200000
"17","8/9/2024 18:38:22",22,162,50
"18","8/9/2024 18:38:52",21,173,52
"19","8/9/2024 18:39:44",22,168,40
"20","8/9/2024 18:46:29",20,165,4
"21","8/9/2024 18:49:19",23,180,150
